,film_id,rank
0,tt9419884,7
1,tt10872600,9
2,tt11126994,10
3,tt3480822,5
4,tt4273562,6
5,tt12708542,4
6,tt0109830,9
7,tt0120689,9
8,tt14417986,4
9,tt14417988,3
10,tt14149802,4
11,tt14120078,6
12,tt12711128,8
13,tt8946378,8
14,tt2084970,8
15,tt9699202,5
16,tt6146586,7
17,tt4425200,7
18,tt7286456,8
19,tt2911666,6
20,tt0829482,6
21,tt0322259,5
22,tt0463985,5
23,tt2024544,7
24,tt0120382,7
25,tt1298650,4
26,tt1790809,4
27,tt0449088,7
28,tt0383574,7
29,tt0325980,8
30,tt0437086,6
31,tt1270797,5
32,tt0800080,5
33,tt2802144,7
34,tt6320628,7
35,tt4649466,6
36,tt2527336,2
37,tt0111161,8
38,tt4154664,6
39,tt3778644,6
40,tt0120915,4
41,tt2488496,6
42,tt1853728,7
43,tt0121765,5
44,tt0121766,7
45,tt3748528,6
46,tt0076759,8
47,tt0080684,7
48,tt0086190,7
49,tt0800369,4
50,tt1843866,9
51,tt0478970,6
52,tt1300854,7
53,tt5095030,7
54,tt0458339,7
55,tt0371746,8
56,tt3315342,9
57,tt1981115,6
58,tt2015381,7
59,tt1211837,7
60,tt1228705,7
61,tt2250912,6
62,tt0848228,8
63,tt3896198,9
64,tt2395427,8
65,tt3498820,8
66,tt3501632,8
67,tt4154756,9
68,tt4154796,9
69,tt1825683,5
70,tt2109248,7
